1.755403905296190441e-03,2.048705887935214996e-03
2.599494516187278621e-03,5.614221547490401941e-04
1.904051697986012225e-03,6.121928829217328054e-04
1.587971742577686711e-03,1.529177026149082519e-03
7.962385057470905848e-04,1.622447688969589664e-03
2.258043146744355759e-03,8.608958363098915406e-04
2.049354389535607088e-03,1.647242969789843633e-03
1.689530299133112229e-03,2.028221884495144418e-03
1.740698904721017879e-03,1.432812468782296072e-03
2.459332345011064260e-03,3.471721447395374424e-04
2.229228534679491853e-03,1.383831027084970414e-03
2.792357922170914802e-03,2.049970767215726197e-03
1.785133031498691621e-03,9.560387746751168982e-04
2.011546737433304432e-03,1.295475057369501436e-03
1.719326370099855898e-03,4.065514308150362105e-03
1.817014715153084797e-03,1.733662467934391719e-03
1.698064146545624807e-03,1.078891088845246489e-03
1.510469226669264916e-03,1.424294078689462926e-03
9.267556056231731655e-04,1.078057607881057877e-03
1.204684489343369131e-03,6.435964911743234044e-04
1.632329914622076498e-03,2.665653044191276539e-03
2.013001839603339050e-03,7.928006224190215683e-04
3.845683786502648947e-03,5.846339909876782951e-04
3.237139561320259359e-03,1.144702500627467479e-03
2.993962280287238917e-03,1.955872593974863211e-03
3.257536154045398077e-03,7.342150722042927596e-04
3.725058381165567700e-03,1.347478479572433024e-03
1.306263358648491113e-03,2.819481691394288593e-03
2.552889302069387759e-03,9.305841543923248048e-04
2.300751010822892680e-03,1.835648761863762453e-03
2.509133441797747020e-03,5.090725123801881173e-05
1.911788320846697286e-03,1.227636060724615489e-03
1.889292070702756031e-03,7.603227512100655229e-04
1.790004149382634722e-03,1.195735311430581697e-03
1.631630443438505332e-03,1.805094124136238758e-03
1.900677810172157799e-03,1.936941601973374977e-03
2.156470231159346180e-03,2.687719498228414560e-03
2.279747605264192869e-03,2.200515159682713343e-03
